,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,gene cell type(s),cluster label
1,2.01118708589854e-189,4.711940849,0.013,0.001,5.05391202815445e-185,0,Olfr1042,olfactory receptor,olfactory receptor
2,3.71292230267369e-94,4.508234207,0.013,0.003,9.33020245438873e-90,0,Olfr77,olfactory receptor,olfactory receptor
3,1.23851576649819e-87,4.351240371,0.012,0.003,3.1122662696333e-83,0,Olfr1406,olfactory receptor,olfactory receptor
4,1.92409787631139e-145,4.296562752,0.013,0.002,4.8350655533829e-141,0,Olfr411,olfactory receptor,olfactory receptor
5,0,4.065046122,0.035,0.005,0,0,Avp,magnocellular eurons,olfactory receptor
6,2.14034729341388e-111,4.462218325,0.01,0.001,5.37847871361975e-107,1,Olfr169,olfactory receptor,olfactory receptor
7,3.04015183306728e-119,4.423200367,0.012,0.002,7.63959754131477e-115,1,Olfr1247,olfactory receptor,olfactory receptor
8,1.91027388128386e-65,4.410529283,0.011,0.003,4.80032723627821e-61,1,Olfr1228,olfactory receptor,olfactory receptor
9,2.79683956373415e-229,4.208221126,0.016,0.001,7.02817813970753e-225,1,Olfr55,olfactory receptor,olfactory receptor
10,3.77170770338216e-190,4.153294272,0.021,0.004,9.47792428782902e-186,1,Olfr1226,olfactory receptor,olfactory receptor
11,0,8.66945663,0.499,0.004,0,2,Fcrls,microglial,macrophages
12,0,8.669287428,0.036,0,0,2,Cd209f,macrophages,macrophages
13,1.98166662987817e-259,7.144109343,0.01,0,4.97973007422086e-255,2,Cd5l,macrophages,macrophages
14,0,7.130193909,0.495,0.007,0,2,Pf4,cytokine,macrophages
15,0,6.990649954,0.917,0.017,0,2,Ms4a7,myeloid/macrophages/dendritic,macrophages
16,0,5.6177675,0.817,0.028,0,3,Krt15,keratinocytes,basal epithelial
17,0,5.484890131,0.191,0.007,0,3,Lgals7,squamous epithelial,basal epithelial
18,2.11670797710329e-286,5.253821596,0.019,0.001,5.31907547566285e-282,3,Sprr2a3,epithelial,basal epithelial
19,0,5.178004305,0.924,0.071,0,3,Sfn,epithelial,basal epithelial
20,0,5.156600206,0.887,0.045,0,3,Adh7,keratinocytes,basal epithelial
21,0,8.863941757,0.66,0.005,0,4,Iglc2,B lymphocytes,B lymphocytes
22,0,8.622483568,0.53,0.004,0,4,Fcmr,B lymphocytes,B lymphocytes
23,0,8.546718177,0.35,0.004,0,4,Iglc1,B lymphocytes,B lymphocytes
24,0,8.427362242,0.563,0.005,0,4,Ighd,B lymphocytes,B lymphocytes
25,0,7.818637821,0.668,0.005,0,4,Ms4a1,B lymphocytes,B lymphocytes
26,0,8.176328824,0.015,0,0,5,Gucy2d,retinal photoreceptor,neuronal support
27,0,8.08066235,0.051,0.001,0,5,Pvalb,basket/chandelier,neuronal support
28,0,7.89616657,0.207,0.002,0,5,Grp,neuronal support,neuronal support
29,0,7.581406011,0.761,0.012,0,5,Gng8,neuronal support,neuronal support
30,0,6.752094652,0.488,0.011,0,5,Stk32a,hair,neuronal support
31,0,9.414276079,0.024,0,0,6,Gm15056,macrophages/immune cell,macrophages
